sample,component,rh,mc,constant,compliance,stiffness
1_sTR-271-129-471,exy,35,7.992733684203689,G_TR,0.019165310790007727,52.17760415977042
1_sTR-271-129-471_symm,exy,35,7.992733684203689,G_avgRT,0.019165310790007727,52.17760415977042
1_sTR-271-129-478,exy,65,13.184797381940328,G_TR,0.020000096227522777,49.99975943235052
1_sTR-271-129-478_symm,exy,65,13.184797381940328,G_avgRT,0.020000096227522777,49.99975943235052
1_sTR-271-129-485,exy,65,11.993110491986398,G_TR,0.019765172935005643,50.5940425256246
1_sTR-271-129-485_symm,exy,65,11.993110491986398,G_avgRT,0.019765172935005643,50.5940425256246
1_sTR-271-129-492,exy,65,11.672626380727799,G_TR,0.019706660017773284,50.744266105880335
1_sTR-271-129-492_symm,exy,65,11.672626380727799,G_avgRT,0.019706660017773284,50.744266105880335
1_tLx-235-175-035,exx,35,7.941269007304386,E_tTL,5.175361329366066e-05,19322.322372464972
1_tLx-235-175-035,eyy,35,7.941269007304386,E_tLL,6.746693129410732e-05,14822.07625007752
1_tLx-235-175-035_symm,exx,35,7.941269007304386,E_avgTL,5.175361329366066e-05,19322.322372464972
1_tLx-235-175-035_symm,eyy,35,7.941269007304386,E_avgLL,6.746693129410732e-05,14822.07625007752
1_tLx-235-193-474,exx,90,19.512817518195284,E_tTL,7.166372520911994e-05,13954.061096906806
1_tLx-235-193-474,eyy,90,19.512817518195284,E_tLL,7.447927597458825e-05,13426.553721349173
1_tLx-235-193-474_symm,exx,90,19.512817518195284,E_avgTL,7.166372520911994e-05,13954.061096906806
1_tLx-235-193-474_symm,eyy,90,19.512817518195284,E_avgLL,7.447927597458825e-05,13426.553721349173
1_tLx-235-193-585,exx,65,13.127687202495727,E_tTL,5.722186370399851e-05,17475.837647876586
1_tLx-235-193-585,eyy,65,13.127687202495727,E_tLL,6.972495300476234e-05,14342.067752009789
1_tLx-235-193-585_symm,exx,65,13.127687202495727,E_avgTL,5.722186370399851e-05,17475.837647876586
1_tLx-235-193-585_symm,eyy,65,13.127687202495727,E_avgLL,6.972495300476234e-05,14342.067752009789
1_tLx-237-186-033,eyy,65,12.982527190849636,E_tLL,6.964410516900457e-05,14358.717045373924
1_tLx-237-186-033_symm,eyy,65,12.982527190849636,E_avgLL,6.964410516900457e-05,14358.717045373924
1_tLx-237-186-145,exx,65,12.982527190849636,E_tTL,5.7012920674616754e-05,17539.883734551757
1_tLx-237-186-145_symm,exx,65,12.982527190849636,E_avgTL,5.7012920674616754e-05,17539.883734551757
1_tLx-237-186-256,eyy,65,12.982527190849636,E_tLL,6.964410516900457e-05,14358.717045373924
1_tLx-237-186-256_symm,eyy,65,12.982527190849636,E_avgLL,6.964410516900457e-05,14358.717045373924
1_tLx-237-186-367,exx,35,8.051037014695876,E_tTL,5.1833187191009583e-05,19292.65889660455
1_tLx-237-186-367_symm,exx,35,8.051037014695876,E_avgTL,5.1833187191009583e-05,19292.65889660455
1_tLx-237-186-479,exx,35,8.051037014695876,E_tTL,5.1833187191009583e-05,19292.65889660455
1_tLx-237-186-479,eyy,35,8.051037014695876,E_tLL,6.750204956804242e-05,14814.364991865836
1_tLx-237-186-479_symm,exx,35,8.051037014695876,E_avgTL,5.1833187191009583e-05,19292.65889660455
1_tLx-237-186-479_symm,eyy,35,8.051037014695876,E_avgLL,6.750204956804242e-05,14814.364991865836
1_tLx-237-186-590,exx,35,8.051037014695876,E_tTL,5.1833187191009583e-05,19292.65889660455
1_tLx-237-186-590,eyy,35,8.051037014695876,E_tLL,6.750204956804242e-05,14814.364991865836
1_tLx-237-186-590_symm,exx,35,8.051037014695876,E_avgTL,5.1833187191009583e-05,19292.65889660455
1_tLx-237-186-590_symm,eyy,35,8.051037014695876,E_avgLL,6.750204956804242e-05,14814.364991865836
1_tR-058-136-100,eyy,65,13.184797381940328,E_tRR,0.000932536314399535,1072.3442986173736
1_tR-058-136-100_symm,eyy,65,13.184797381940328,E_avgRR,0.000932536314399535,1072.3442986173736
1_tR-058-136-137,eyy,35,7.992733684203689,E_tRR,0.0008366430041037556,1195.2529275867653
1_tR-058-136-137_symm,eyy,35,7.992733684203689,E_avgRR,0.0008366430041037556,1195.2529275867653
1_tR-058-136-233,exx,35,7.951772997597718,E_tRL,4.044109894499773e-05,24727.320129456886
1_tR-058-136-233,eyy,35,7.951772997597718,E_tRR,0.000836132310357703,1195.982965390003
