component,sample,constant,mc,rh,load_type,direction,label,outlier,mc_mean
E_RR,3_TR-197-136-605,,0.0838447550858052,35.0,tension,TR,"$E_{t,RR}$",True,8.528434919480988
E_RR,3_TR-197-136-636,1122.093888502533,0.0839497041420118,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-668,1268.047202912877,0.084533500313087,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-699,1405.373586638368,0.0844027809436973,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-730,1166.498691768464,0.0841006823003269,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-762,1225.391300636495,0.0842586732639089,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-793,1236.838277612315,0.0845001934022213,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-918,1085.808992127749,0.0835502342529931,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,3_TR-197-136-950,1048.546349900113,0.0836261703849265,35.0,tension,TR,"$E_{t,RR}$",False,8.528434919480988
E_RR,2_TR-195-150-013,987.3120791337311,0.1080937048961919,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-044,1216.198841010957,0.1075077525705891,65.0,tension,TR,"$E_{t,RR}$",True,10.150967619080834
E_RR,2_TR-195-150-075,996.9691476852341,0.1073142478901207,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-138,1002.153263833906,0.1080343692462201,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-169,1014.115132675392,0.1084002020088658,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-201,1072.333968886709,0.1084323839425881,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-232,1028.201279394764,0.1084987907081387,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-263,1090.344707893625,0.1086350501444839,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-295,1076.981666237473,0.1086082970173751,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-326,1031.737122549417,0.1073588652482269,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-357,1131.570594934351,0.1079446146861877,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-389,1022.852481509697,0.1089441486348703,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-420,1024.967018383065,0.1094899571202888,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-451,1032.463295527801,0.1100128801030408,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-483,1051.773516994572,0.1097816298964429,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-514,899.5562404196754,0.1096661796111048,65.0,tension,TR,"$E_{t,RR}$",True,10.150967619080834
E_RR,2_TR-195-150-545,909.2868673534282,0.1082030147349403,65.0,tension,TR,"$E_{t,RR}$",True,10.150967619080834
E_RR,2_TR-195-150-576,957.6420123273098,0.1088865096359743,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-608,996.9429970583418,0.1091106653293211,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-639,1023.275820875574,0.1089728453364818,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-670,1028.683423477032,0.1083881486478889,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-702,1072.10687516902,0.1073257588604376,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-733,1071.858100511619,0.1092370387140593,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-764,1047.978053028632,0.1101443532408719,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-796,1055.78417041648,0.1105128351072913,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-827,1124.897399797205,0.1116760188176612,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-858,1085.527674354051,0.1111949186184993,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
E_RR,2_TR-195-150-890,1084.181451142792,0.1102649756539464,65.0,tension,TR,"$E_{t,RR}$",False,10.150967619080834
