sample,exp_mass,dry_mass,moisture_content
2_TR-195-150-357,19.5242,17.622,0.1079446146861877
2_TR-195-150-389,19.5773,17.654,0.1089441486348703
2_TR-195-150-420,19.6646,17.724,0.1094899571202888
2_TR-195-150-451,19.8215,17.857,0.1100128801030408
2_TR-195-150-483,19.7186,17.768,0.1097816298964429
2_TR-195-150-514,19.7454,17.794,0.1096661796111048
2_TR-195-150-545,19.6296,17.713,0.1082030147349403
2_TR-195-150-576,19.6783,17.746,0.1088865096359743
2_TR-195-150-608,19.9041,17.946,0.1091106653293211
2_TR-195-150-639,19.7253,17.787,0.1089728453364818
2_TR-195-150-670,19.7149,17.787,0.1083881486478889
2_TR-195-150-702,19.5897,17.691,0.1073257588604376
2_TR-195-150-733,19.598,17.668,0.1092370387140593
2_TR-195-150-764,19.6107,17.665,0.1101443532408719
2_TR-195-150-796,19.5106,17.569,0.1105128351072913
2_TR-195-150-827,19.6133,17.643,0.1116760188176612
2_TR-195-150-858,19.5937,17.633,0.1111949186184993
2_TR-195-150-890,19.6095,17.662,0.1102649756539464
2_TR-195-150-921,19.6505,17.69,0.1108253250423968
2_TR-195-150-952,19.5902,17.652,0.109800589168366
2_TR-195-150-984,19.5313,17.598,0.1098590748948745
2_TT-266-172-069,23.1119,20.963,0.1025091828459665
2_TT-266-172-100,20.6339,18.687,0.1041847273505645
2_TT-266-172-131,20.043,18.119,0.1061868756553893
2_TT-266-172-162,20.0953,18.066,0.1123270231373853
2_TT-266-172-194,20.07,18.049,0.1119729624909967
2_TT-266-172-225,20.1964,18.161,0.1120753262485545
2_TT-266-172-256,20.2605,18.22,0.1119923161361142
2_TT-266-172-288,20.4243,18.372,0.1117080339647288
2_TT-266-172-319,,,
2_TT-266-172-350,,,
2_TT-266-172-382,20.1306,18.112,0.1114509717314489
2_TT-266-172-413,20.0891,18.08,0.1111227876106194
2_TT-266-172-444,20.1792,18.152,0.1116791538122521
2_TT-266-172-475,20.5319,18.463,0.1120565455234793
2_TT-266-172-507,20.0807,18.048,0.1126274379432625
2_TT-266-172-538,19.8215,17.815,0.1126298063429693
2_TT-266-172-569,20.0385,18.046,0.1104122797295799
2_TT-266-172-601,24.3545,21.982,0.1079292148121191
2_TT-266-172-632,20.6369,18.587,0.1102867595631355
2_TT-266-172-663,19.8767,17.887,0.1112372113825683
2_TT-266-172-695,19.7605,17.806,0.109766370886218
2_TT-266-172-726,19.6922,17.755,0.1091072937200789
2_TT-266-172-757,19.6199,17.681,0.1096600870991459
2_TT-266-172-788,19.6016,17.665,0.1096292103028588
2_TT-266-172-820,19.4986,17.571,0.1097034887029763
2_TT-266-172-851,19.3576,17.446,0.1095723948182964
2_TT-266-172-882,18.7741,16.914,0.1099739860470615
2_TT-266-172-914,18.453,16.638,0.1090876307248465
2_TT-266-172-945,18.2649,16.483,0.1081053206333798
3_CL-012-119-025,20.9648,19.318,0.0852469199710114
3_CL-012-119-123,20.1575,18.567,0.0856627349598749
3_CL-012-119-222,20.3243,18.722,0.0855838051490225
3_CL-012-119-320,19.8765,18.306,0.0857915437561454
3_CL-012-119-418,20.1515,18.577,0.0847553426279806
3_CL-012-119-517,19.9788,,
3_CL-012-119-615,20.4647,18.866,0.0847397434538323
3_CL-012-119-713,20.1283,18.557,0.0846742469149108
3_CL-012-119-812,19.4611,17.932,0.085272139192505
3_CL-012-119-910,20.2464,18.638,0.0862968129627642
3_CL-012-150-027,22.2892,20.525,0.0859537149817297
3_CL-012-150-125,21.5062,19.805,0.0858975006311537
3_CL-012-150-224,21.4178,19.718,0.0862054975149609
3_CL-012-150-322,21.9889,20.238,0.0865154659551339
3_CL-012-150-420,21.4133,19.702,0.0868592021114606
3_CL-012-150-519,21.6669,19.95,0.0860601503759398
3_CL-012-150-617,22.3795,20.605,0.0861198738170346
3_CL-012-150-715,21.9644,20.22,0.0862710187932741
3_CL-012-150-814,21.4433,19.739,0.0863417599675768
3_CL-012-150-912,22.1368,20.361,0.0872157556112175
3_CL-012-182-028,22.3106,20.522,0.0871552480265082
3_CL-012-182-126,22.2724,20.485,0.0872540883573347
3_CL-012-182-225,22.2083,20.508,0.0829091086405306
3_CL-012-182-323,22.5982,20.77,0.0880211844005777
3_CL-012-182-421,22.2258,20.421,0.0883796092257969
3_CL-012-182-520,22.4465,20.635,0.0877877392779257
3_CL-012-182-618,22.5886,20.764,0.0878732421498748
3_CL-012-182-716,22.5688,20.749,0.0877054315870644
3_CL-012-182-815,22.3008,20.492,0.0882685926215107
3_CL-012-182-913,23.0406,21.179,0.0878983899145381
3_CL-318-120-126,19.72,18.254,0.0803111646762352
3_CL-318-120-225,20.2672,18.762,0.0802259887005649
3_CL-318-120-323,19.5203,18.074,0.0800210246763304
3_CR-161-132-008,19.88,18.296,0.0865763008307826
3_CR-161-132-039,19.8321,18.254,0.0864522844308096
3_CR-161-132-071,19.6864,18.112,0.0869257950530035
3_CR-161-132-102,19.5774,18.011,0.0869690744545001
3_CR-161-132-133,,18.086,
3_CR-161-132-165,19.5808,18.034,0.0857713208384163
3_CR-161-132-196,19.4088,17.877,0.0856855177043128
3_CR-161-132-227,19.4937,17.873,0.0906786773345269
3_CR-161-132-259,19.377,17.848,0.085667861945316
3_CR-161-132-290,19.3224,17.794,0.085894121614027
3_CR-161-132-321,19.1095,17.602,0.0856436768549028
3_CR-161-132-353,19.6525,18.103,0.085593548030713
3_CR-161-132-415,20.6161,18.997,0.0852292467231668
3_CR-161-132-447,19.4511,17.92,0.0854408482142856
3_CR-161-132-478,19.5518,18.005,0.0859094695917801
3_CR-161-132-509,19.6296,18.083,0.0855278438312227
3_CR-161-132-541,19.615,18.055,0.0864026585433397
3_CR-161-132-572,19.6315,18.069,0.0864740716143671
3_CR-161-132-603,19.6239,18.064,0.0863540744021257
3_CR-161-132-635,19.6249,18.07,0.0860486995019369
3_CR-161-132-666,19.4444,17.898,0.0864007151637055
3_CR-161-132-697,19.4742,17.925,0.0864267782426777
3_CR-161-132-728,19.52,17.958,0.0869807328210269
3_CR-161-132-760,19.4388,17.876,0.0874244797493846
3_CR-161-132-791,19.29,17.751,0.0866993408822037
3_CR-161-132-822,19.4751,17.921,0.0867194910998271
3_CR-161-132-854,19.1944,17.672,0.0861475780896333
3_CR-161-132-885,19.2074,17.677,0.0865757764326526
3_CR-161-132-916,19.2097,17.678,0.0866444167892295
3_CR-161-132-948,19.3176,17.785,0.086173741917346
3_CR-161-132-979,19.3365,17.798,0.0864422968872908
3_CR-281-100-258,18.7725,16.739,0.1214827648007646
3_CR-281-100-290,18.7965,16.757,0.1217103300113385
3_CR-281-100-321,18.7127,16.682,0.1217300083922792
3_CT-239-166-043,20.0056,18.385,0.0881479466956758
3_CT-239-166-075,20.0534,18.424,0.0884389926183239
3_CT-239-166-106,20.024,18.397,0.0884383323367941
3_CT-239-166-137,20.0161,18.388,0.0885414400696106
3_CT-239-166-169,20.0503,18.416,0.0887434839270199
3_CT-239-166-200,20.083,18.443,0.0889226264707475
3_CT-239-166-231,20.0308,19.139,0.0465959559015622
3_CT-239-166-263,20.0676,18.443,0.0880876213197417
3_CT-239-166-294,19.8798,18.266,0.0883499397788241
3_CT-239-166-325,19.7829,18.167,0.0889469917983156
