,,cam1,cam1,cam2,cam2
data_2_sTR,2_sTR-267-122-224,R,T,R,T
data_2_sTR,2_sTR-267-122-235,R,T,R,T
data_2_sTR,2_sTR-267-122-247,R,T,R,T
data_2_sTR,2_sTR-267-122-258,R,T,R,T
data_2_sTR,2_sTR-267-122-269,R,T,R,T
data_2_sTR,2_sTR-267-122-280,R,T,R,T
data_2_sTR,2_sTR-267-122-292,R,T,R,T
data_2_sTR,2_sTR-267-122-303,R,T,R,T
data_2_sTR,2_sTR-267-122-314,R,T,R,T
data_2_sTR,2_sTR-267-122-326,R,T,R,T
data_2_sTR,2_sTR-267-122-337,R,T,R,T
data_2_sTR,2_sTR-267-122-348,R,T,R,T
data_2_sTR,2_sTR-267-122-360,R,T,R,T
data_2_sTR,2_sTR-267-122-371,R,T,R,T
data_2_sTR,2_sTR-267-122-382,R,T,R,T
data_2_sTR,2_sTR-267-122-393_K,R,T,R,T
data_2_sTR,2_sTR-267-122-405_K,R,T,R,T
data_2_sTR,2_sTR-267-122-416_K,R,T,R,T
data_2_sTR,2_sTR-267-122-427,R,T,R,T
data_2_sTR,2_sTR-267-122-439,R,T,R,T
data_2_sTR,2_sTR-267-122-450,R,T,R,T
data_3_CL,3_CL-012-119-025,T,L,R,L
data_3_CL,3_CL-012-119-123,T,L,R,L
data_3_CL,3_CL-012-119-222,T,L,R,L
data_3_CL,3_CL-012-119-320,T,L,R,L
data_3_CL,3_CL-012-119-418,T,L,R,L
data_3_CL,3_CL-012-119-517,T,L,R,L
data_3_CL,3_CL-012-119-615,T,L,R,L
data_3_CL,3_CL-012-119-713,T,L,R,L
data_3_CL,3_CL-012-119-812,T,L,R,L
data_3_CL,3_CL-012-119-910,T,L,R,L
data_3_CL,3_CL-012-150-027,T,L,R,L
data_3_CL,3_CL-012-150-125,T,L,R,L
data_3_CL,3_CL-012-150-224,T,L,R,L
data_3_CL,3_CL-012-150-322,T,L,R,L
data_3_CL,3_CL-012-150-420,T,L,R,L
data_3_CL,3_CL-012-150-519,T,L,R,L
data_3_CL,3_CL-012-150-617,T,L,R,L
data_3_CL,3_CL-012-150-715,T,L,R,L
data_3_CL,3_CL-012-150-814,T,L,R,L
data_3_CL,3_CL-012-150-912,T,L,R,L
data_3_CL,3_CL-012-182-028,T,L,R,L
data_3_CL,3_CL-012-182-126,T,L,R,L
data_3_CL,3_CL-012-182-225,T,L,R,L
data_3_CL,3_CL-012-182-323,T,L,R,L
data_3_CL,3_CL-012-182-421,T,L,R,L
data_3_CL,3_CL-012-182-520,T,L,R,L
data_3_CL,3_CL-012-182-618,T,L,R,L
data_3_CL,3_CL-012-182-716,T,L,R,L
data_3_CL,3_CL-012-182-815,T,L,R,L
data_3_CL,3_CL-012-182-913,T,L,R,L
data_3_CR,3_CR-161-132-008,L,R,T,R
data_3_CR,3_CR-161-132-039,L,R,T,R
data_3_CR,3_CR-161-132-071,L,R,T,R
data_3_CR,3_CR-161-132-102,L,R,T,R
data_3_CR,3_CR-161-132-133,L,R,T,R
data_3_CR,3_CR-161-132-165,L,R,T,R
data_3_CR,3_CR-161-132-196,L,R,T,R
data_3_CR,3_CR-161-132-227,L,R,T,R
data_3_CR,3_CR-161-132-259,L,R,T,R
data_3_CR,3_CR-161-132-290,L,R,T,R
data_3_CR,3_CR-161-132-321,L,R,T,R
data_3_CR,3_CR-161-132-353,L,R,T,R
data_3_CR,3_CR-161-132-415,L,R,T,R
data_3_CR,3_CR-161-132-447,L,R,T,R
data_3_CR,3_CR-161-132-478,L,R,T,R
data_3_CR,3_CR-161-132-509,L,R,T,R
data_3_CR,3_CR-161-132-541,L,R,T,R
